key,en,tr,es
GAME_TITLE,Cheesenaf 2,Cheesenaf 2: Translated Edition,
GAME_VER,\n[wave]Version ,\n[wave]Version ,
MENU_NEW,New Game,This is a new game.,
MENU_CONT,Continue,the time,
MENU_CUST,Custom Night,Night activities,
MENU_EXTR,Extras,All these things,
MENU_SETT,Settings,Order,
MENU_EXIT,Exit Game,outdoor sports,
MENU_TOMAIN,Back to Main Menu,and so on.,
SETTING_VOL_MAST,Master Volume,accounting journal,
SETTING_VOL_SFX,SFX Volume,General SFKS,
SETTING_VOL_VOIC,Voice Volume,farm,
SETTING_VOL_MUS,Music Volume,wing music,
SETTING_VOL_AMB,Ambient Volume,Screen size,
SETTING_VOL_JMPSC,Jumpscare Volume,Does grandpa work?,
SETTING_VOL_TBLT,Tablet Volume,Last order,
SETTING_VOL_RESET,Reset Audio Settings,Repeat the settings.,
SETTING_MOUSE,Mouse Sensitivity,Your heart is a rat,
SETTING_MOUSE_TST,Test,check it out.,
SETTING_MOUSE_RESET,Reset,Repetition,
SETTING_MOUSE_ESC,Press Escape to stop testing,Press Esc to cancel the test.,
SETTING_FULLSCREEN,Fullscreen,All eyes,
SETTING_LANG,Language,Chin / Language,
EXTRA_MULTI,Multiplayer Menu (Coming soon!),Multi-user menu (coming soon!),
EXTRA_DISCORD,Join the [color=MEDIUM_SLATE_BLUE]Discord,[color=MEDIUM_SLATE_BLUE] high contrast,
EXTRA_GITHUB,GitHub Source Code,Source: GitHub,
EXTRA_CODE,Enter Cheesenaf Passcode,Enter the code Cheesenaf.,
EXTRA_CHLOG,View Changelog,View the transfer report,
EXTRA_CREDITS,View Credits,See the credits,
CUSTOM_HINT,Hover over an animatronic's name to get their behavior description.,Tap an animatronic name to see a description of its behavior.,
CUSTOM_START_BASE,Start Night ,The beginning of the night ,
CUSTOM_START_CUST,Start Custom Night,Start your own night.,
CUSTOM_FRIENDLY,Friendly\nEdams,Comrade\nAdams,
EDAM_FREDDY_NAME,Edam Freddy,Adam Freddie,
EDAM_BONNIE_NAME,Edam Bonnie,Adam Bonney,
EDAM_CHICA_NAME,Edam Cheeseca,Drink the cheese.,
EDAM_FOXY_NAME,Edam Foxy,Adam Fuzzy,
WITHER_FREDDY_NAME,Withered Freddy,Freddy froze,
